"full_id","osm_id","osm_type","waterway","website","seamark_ha","sanitary_d","phone","maxlength","maxdraft","maxairdraf","leisure","harbour_wa","harbour_re","harbour_pu","harbour_el","capacity","place","intermitte","name_en","name_de","lock","karst","tourism","natural","ele","ford","wikipedia","width","height","wikidata","seamark_br","seamark_ty","rapids","name","slope_values","area_values","geometry"
"n9759999950","9759999950","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,0.0688609725446033,2693.4762580202,c(741566.908398322, 5225041.02491671)
"n9759999951","9759999951","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,0.28637815934204,2693.4762580202,c(741680.457674219, 5225110.04593284)
"n9759999952","9759999952","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,0.203977159501867,2693.4762580202,c(742184.28112122, 5225160.42578669)
"n9804306433","9804306433","node","weir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.172290555021486,2693.4762580202,c(794153.281726456, 5234986.02995745)
"n10114632346","10114632346","node","weir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0170292866196963,2693.4762580202,c(767016.912076826, 5293907.77936279)
"n10181055954","10181055954","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,0.00340617341826269,2693.4762580202,c(776707.838189916, 5274114.48012458)
"n10299215674","10299215674","node","weir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00340617341826324,2693.4762580202,c(787935.743088469, 5289308.3977974)
"n10683305723","10683305723","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,0.505135064342265,2693.4762580202,c(759692.403391082, 5246725.65150183)
"n10683305844","10683305844","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,0.129422711804572,2693.4762580202,c(752629.319422751, 5246493.33512274)
"n10800359754","10800359754","node","weir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0122805630179279,2693.4762580202,c(786820.601030954, 5294977.06537337)
"n10856208166","10856208166","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,0.0585353034343167,2693.4762580202,c(701209.804961121, 5215093.24921354)
"n10959401467","10959401467","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,0.0207160601910863,2693.4762580202,c(750022.993038258, 5241656.1619132)
